split,zero_output,linear_in_input,constant_output
574,151,1964,447
238,140,1190,0
35,10,55,0
527,193,1969,447
236,199,1133,0
30,18,52,0
649,108,1932,447
195,77,1296,0
25,11,64,0
499,201,1989,447
216,234,1118,0
24,13,63,0
577,153,1959,447
259,130,1179,0
30,12,58,0
625,122,1942,447
195,95,1278,0
25,11,64,0
568,153,1968,447
261,141,1166,0
23,12,65,0
570,147,1972,447
234,130,1204,0
26,10,64,0
516,192,1981,447
236,242,1090,0
22,16,62,0
525,185,1979,447
237,172,1159,0
25,12,63,0
505,205,1979,447
276,219,1073,0
32,19,49,0
546,176,1967,447
307,146,1115,0
45,8,47,0
572,157,1960,447
237,137,1194,0
33,9,58,0
520,185,1984,447
245,199,1124,0
34,14,52,0
601,130,1958,447
166,127,1275,0
23,11,66,0
538,170,1981,447
306,157,1105,0
35,15,50,0
553,161,1975,447
263,145,1160,0
31,12,57,0
553,174,1962,447
232,171,1165,0
29,12,59,0
508,197,1984,447
283,224,1061,0
26,18,56,0
603,128,1958,447
235,99,1234,0
27,13,60,0
553,176,1960,447
226,159,1183,0
22,13,65,0
562,160,1967,447
231,149,1188,0
31,12,57,0
555,161,1973,447
243,144,1181,0
37,10,53,0
571,162,1956,447
263,156,1149,0
34,10,56,0
604,122,1963,447
277,61,1230,0
33,11,56,0
437,248,2004,447
243,288,1037,0
31,16,53,0
608,132,1949,447
247,110,1211,0
37,11,52,0
578,152,1959,447
226,144,1198,0
25,11,64,0
504,197,1988,447
228,226,1114,0
30,14,56,0
618,116,1955,447
195,105,1268,0
25,9,66,0
548,172,1969,447
231,175,1162,0
27,10,63,0
631,112,1946,447
182,89,1297,0
27,8,65,0
547,173,1969,447
246,191,1131,0
25,13,62,0
564,162,1963,447
269,181,1118,0
32,18,50,0
549,179,1961,447
225,183,1160,0
17,15,68,0
504,213,1972,447
289,206,1073,0
35,14,51,0
560,163,1966,447
249,158,1161,0
26,15,59,0
614,122,1953,447
193,103,1272,0
26,9,65,0
575,154,1960,447
254,144,1170,0
37,10,53,0
608,127,1954,447
189,125,1254,0
22,11,67,0
663,94,1932,447
215,42,1311,0
28,9,63,0
592,144,1953,447
238,113,1217,0
38,9,53,0
566,159,1964,447
216,153,1199,0
19,15,66,0
602,139,1948,447
232,123,1213,0
37,12,51,0
586,150,1953,447
222,131,1215,0
25,10,65,0
574,150,1965,447
266,130,1172,0
568,153,1968,447
261,141,1166,0
23,12,65,0
570,147,1972,447
234,130,1204,0
26,10,64,0
546,176,1967,447
307,146,1115,0
45,8,47,0
538,170,1981,447
306,157,1105,0
35,15,50,0
555,161,1973,447
243,144,1181,0
37,10,53,0
604,122,1963,447
277,61,1230,0
33,11,56,0
575,154,1960,447
254,144,1170,0
37,10,53,0
602,139,1948,447
232,123,1213,0
37,12,51,0
586,150,1953,447
222,131,1215,0
25,10,65,0
574,150,1965,447
266,130,1172,0
33,10,57,0
588,136,1965,447
199,138,1231,0
26,10,64,0
583,135,1971,447
294,73,1201,0
46,8,46,0
519,193,1977,447
210,214,1144,0
20,14,66,0
558,157,1974,447
246,161,1161,0
27,17,56,0
572,155,1962,447
235,140,1193,0
34,11,55,0
489,214,1986,447
275,226,1067,0
27,15,58,0
552,172,1965,447
301,145,1122,0
35,9,56,0
573,146,1970,447
316,92,1160,0
32,15,53,0
497,205,1987,447
259,219,1090,0
36,15,49,0
535,179,1975,447
231,178,1159,0
35,10,55,0
561,168,1960,447
248,177,1143,0
26,14,60,0
636,110,1943,447
184,86,1298,0
24,11,65,0
558,166,1965,447
247,154,1167,0
32,11,57,0
630,119,1940,447
243,93,1232,0
28,12,60,0
544,178,1967,447
195,195,1178,0
22,16,62,0
515,194,1980,447
267,195,1106,0
26,10,64,0
602,128,1959,447
260,82,1226,0
37,8,55,0
563,163,1963,447
236,155,1177,0
32,14,54,0
520,200,1969,447
282,178,1108,0
31,12,57,0
617,114,1958,447
221,83,1264,0
24,10,66,0
532,179,1978,447
271,133,1164,0
39,9,52,0
560,164,1965,447
263,150,1155,0
29,13,58,0
510,198,1981,447
195,226,1147,0
23,13,64,0
518,195,1976,447
294,208,1066,0
36,17,47,0
546,175,1968,447
242,161,1165,0
29,12,59,0
465,228,1996,447
243,270,1055,0
32,22,46,0
518,183,1988,447
285,198,1085,0
32,15,53,0
539,178,1972,447
208,182,1178,0
18,15,67,0
614,123,1952,447
198,106,1264,0
24,10,66,0
559,163,1967,447
231,146,1191,0
29,10,61,0
568,151,1970,447
247,132,1189,0
32,13,55,0
575,154,1960,447
274,126,1168,0
32,12,56,0
586,142,1961,447
223,127,1218,0
30,10,60,0
511,203,1975,447
202,225,1141,0
21,13,66,0
585,146,1958,447
199,138,1231,0
19,15,66,0
543,180,1966,447
225,171,1172,0
29,12,59,0
508,197,1984,447
237,227,1104,0
29,17,54,0
577,148,1964,447
204,130,1234,0
26,14,60,0
533,176,1980,447
288,156,1124,0
36,10,54,0
512,202,1975,447
225,206,1137,0
18,18,64,0
565,160,1964,447
217,167,1184,0
18,13,69,0
547,180,1962,447
237,188,1143,0
24,12,64,0
538,175,1976,447
243,165,1160,0
36,13,51,0
617,128,1944,447
202,115,1251,0
21,12,67,0
541,178,1970,447
257,176,1135,0
30,12,58,0
557,163,1969,447
255,123,1190,0
33,9,58,0
615,121,1953,447
292,72,1204,0
28,10,62,0
514,193,1982,447
207,228,1133,0
24,11,65,0
580,140,1969,447
168,147,1253,0
25,9,66,0
482,204,2003,447
223,209,1136,0
24,12,64,0
622,114,1953,447
196,91,1281,0
28,9,63,0
546,166,1977,447
231,183,1154,0
26,10,64,0
569,163,1957,447
246,157,1165,0
36,10,54,0
525,184,1980,447
236,186,1146,0
29,12,59,0
