split,zero_output,linear_in_input,constant_output
90,109,60,0
79,168,300,0
14,8,33,0
83,95,81,0
103,175,269,0
13,14,28,0
98,128,33,0
74,112,361,0
14,10,31,0
74,68,117,0
111,199,237,0
13,13,29,0
88,95,76,0
123,147,277,0
21,10,24,0
95,119,45,0
64,138,345,0
12,13,30,0
87,99,73,0
91,176,280,0
26,8,21,0
81,111,67,0
82,145,320,0
24,9,22,0
71,89,99,0
89,200,258,0
22,15,18,0
69,82,108,0
97,186,264,0
23,9,23,0
76,77,106,0
126,198,223,0
19,11,25,0
78,84,97,0
124,167,256,0
38,2,15,0
83,98,78,0
90,167,290,0
25,6,24,0
82,75,102,0
111,196,240,0
12,15,28,0
90,120,49,0
54,148,345,0
14,15,26,0
81,98,80,0
129,175,243,0
27,13,15,0
84,92,83,0
95,178,274,0
26,8,21,0
84,104,71,0
83,180,284,0
17,9,29,0
67,86,106,0
101,194,252,0
25,15,15,0
97,103,59,0
93,145,309,0
33,2,20,0
77,95,87,0
82,177,288,0
18,9,28,0
84,102,73,0
100,161,286,0
27,8,20,0
76,98,85,0
110,160,277,0
26,13,16,0
79,101,79,0
101,171,275,0
26,5,24,0
92,118,49,0
115,116,316,0
29,4,22,0
49,47,163,0
105,228,214,0
19,14,22,0
94,116,49,0
74,144,327,2
18,11,26,0
81,98,80,0
99,166,282,0
19,11,25,0
76,68,115,0
119,197,231,0
17,10,28,0
93,121,45,0
72,126,349,0
21,10,24,0
79,94,86,0
76,193,278,0
24,8,23,0
91,123,45,0
60,126,361,0
21,7,27,0
78,89,92,0
92,192,263,0
22,13,20,0
80,101,78,0
86,181,280,0
14,19,22,0
81,93,85,0
67,201,279,0
10,14,31,0
77,85,97,0
111,196,240,0
21,11,23,0
81,107,71,0
81,172,294,0
17,10,28,0
92,120,47,0
58,138,351,0
19,12,24,0
90,104,65,0
130,152,265,0
20,8,27,0
90,111,58,0
64,149,334,0
14,13,28,0
96,134,29,0
74,110,363,0
20,8,27,0
91,110,58,0
110,148,289,0
15,8,32,0
92,90,77,0
86,176,285,0
19,13,23,0
85,120,54,0
74,148,325,0
14,13,28,0
81,112,66,0
88,149,310,0
21,8,26,0
95,89,75,0
142,153,252,0
26,5,24,0
78,116,65,0
51,152,344,0
26,10,19,0
92,108,59,0
123,122,302,0
26,6,23,0
74,65,120,0
85,200,262,0
14,14,27,0
71,102,86,0
83,178,286,0
18,15,22,0
90,103,66,0
81,164,302,0
24,9,22,0
80,68,111,0
116,202,229,0
25,11,19,0
82,91,86,0
117,174,256,0
30,4,21,0
96,100,63,0
137,150,260,0
26,10,19,0
63,89,107,0
108,178,261,0
27,13,15,0
72,87,100,0
88,202,257,0
19,7,29,0
85,86,88,0
92,186,269,0
21,12,22,0
98,126,35,0
53,129,365,0
16,11,28,0
79,90,90,0
90,179,278,0
24,8,23,0
91,122,46,0
102,122,323,0
28,5,22,0
80,108,71,0
59,180,308,0
9,17,29,0
73,77,109,0
94,193,260,0
25,8,22,0
93,111,55,0
110,130,307,0
27,6,22,0
74,100,85,0
87,180,280,0
17,8,30,0
70,87,102,0
96,191,260,0
21,9,25,0
91,116,52,0
96,125,326,0
26,6,23,0
79,93,87,0
131,152,264,0
35,3,17,0
81,99,79,0
104,157,286,0
21,11,23,0
67,64,128,0
92,202,253,0
20,8,27,0
76,91,92,0
99,195,253,0
20,12,23,0
84,106,69,0
63,182,302,0
16,9,30,0
56,63,140,0
93,229,225,0
13,16,26,0
88,84,87,0
110,196,241,0
17,11,27,0
74,91,94,0
71,183,293,0
14,11,30,0
88,120,51,0
68,135,344,0
18,12,25,0
80,100,79,0
89,160,296,2
19,11,25,0
88,101,70,0
116,153,278,0
22,6,27,0
92,103,64,0
97,151,299,0
20,13,22,0
79,108,72,0
86,154,307,0
20,8,27,0
60,73,126,0
80,207,258,2
15,12,28,0
88,106,65,0
102,130,315,0
17,10,28,0
77,87,95,0
88,176,283,0
21,11,23,0
76,78,105,0
83,210,254,0
14,11,30,0
95,107,57,0
76,154,317,0
19,11,25,0
71,83,105,0
117,186,244,0
28,11,16,0
65,74,120,0
94,199,254,0
23,11,21,0
80,97,82,0
88,176,283,0
16,12,27,0
88,86,85,0
91,178,278,0
21,10,24,0
72,98,89,0
97,160,290,0
30,9,16,0
91,116,52,0
73,143,331,0
14,13,28,0
79,83,97,0
89,199,259,0
22,8,25,0
82,102,75,0
95,160,292,0
26,9,20,0
93,109,57,0
122,131,294,0
27,4,24,0
71,72,116,0
84,200,263,0
21,9,25,0
76,103,80,0
68,162,317,0
17,17,21,0
70,60,129,0
120,197,230,0
28,10,17,0
88,126,45,0
73,127,347,0
25,5,25,0
79,79,101,0
89,179,279,0
23,12,20,0
80,98,81,0
96,173,278,0
26,11,18,0
70,84,105,0
77,188,282,0
26,11,18,0
92,102,65,0
138,129,280,0
38,3,14,0
75,85,99,0
121,187,239,0
12,16,27,0
66,93,100,0
86,201,260,0
23,11,21,0
90,96,73,0
85,181,281,0
19,13,23,0
81,101,77,0
86,171,290,0
24,12,19,0
87,102,70,0
107,156,284,0
25,9,21,0
85,74,100,0
134,195,218,0
20,7,28,0
95,119,45,0
56,148,343,0
13,14,28,0
86,98,75,0
100,158,289,0
20,10,25,0
85,102,72,0
107,155,285,0
24,8,23,0
80,78,101,0
115,187,245,0
28,6,21,0
90,109,60,0
56,163,328,0
9,17,29,0
94,104,61,0
93,160,294,0
24,5,26,0
86,98,75,0
94,157,296,0
21,9,25,0
78,113,68,0
78,155,314,0
23,10,22,0
88,109,62,0
93,139,315,0
22,8,25,0
89,114,56,0
91,141,315,0
26,7,22,0
81,99,79,0
81,169,297,0
20,13,22,0
93,101,65,0
95,153,299,0
23,9,23,0
75,84,100,0
84,203,260,0
21,10,24,0
68,61,130,0
105,219,223,0
19,14,22,0
88,99,72,0
112,150,285,0
30,5,20,0
88,124,47,0
71,140,336,0
15,11,29,0
84,89,86,0
118,149,280,0
28,7,20,0
71,106,82,0
61,168,318,0
19,13,23,0
91,102,66,0
91,143,313,0
26,7,22,0
77,85,97,0
127,191,229,0
20,13,22,0
79,90,90,0
96,180,271,0
21,8,26,0
67,63,129,0
103,205,239,0
19,13,23,0
83,97,79,0
89,189,269,0
19,7,29,0
76,70,113,0
90,188,269,0
30,8,17,0
65,66,128,0
92,203,252,0
23,11,21,0
65,73,121,0
80,224,243,0
17,16,22,0
68,83,108,0
88,200,259,0
18,10,27,0
80,74,105,0
114,182,251,0
20,11,24,0
88,112,59,0
72,145,330,0
17,12,26,0
77,87,95,0
115,192,240,0
16,9,30,0
85,112,62,0
63,157,327,0
11,15,29,0
79,86,94,0
110,160,277,0
28,8,19,0
84,91,84,0
85,189,273,0
23,9,23,0
87,110,62,0
105,138,304,0
30,8,17,0
89,115,55,0
82,135,330,0
17,9,29,0
82,95,82,0
108,178,261,0
25,10,20,0
103,124,32,0
61,133,353,0
15,11,29,0
81,91,87,0
86,176,285,0
22,10,23,0
85,131,43,0
74,117,356,0
22,8,25,0
69,80,110,0
98,185,264,0
28,6,21,0
69,65,125,0
91,217,239,0
15,12,28,0
85,84,90,0
111,178,258,0
16,10,29,0
89,108,62,0
123,129,295,0
30,5,20,0
88,92,79,0
102,168,277,0
25,6,24,0
71,85,103,0
