split,zero_output,linear_in_input,constant_output
14,109,56,0
90,201,258,63
15,15,28,0
20,86,73,0
71,223,269,49
11,17,30,0
13,134,32,0
54,218,201,139
10,15,33,0
21,59,99,0
90,240,272,10
23,12,23,0
24,93,62,0
115,204,263,30
20,9,29,0
13,126,40,0
59,219,214,120
14,14,30,0
21,90,68,0
80,223,267,42
21,11,26,0
17,104,58,0
76,212,236,88
25,10,23,0
22,77,80,0
76,235,281,20
12,12,34,0
19,74,86,0
82,230,262,38
21,12,25,0
21,67,91,0
114,231,262,5
19,13,26,0
29,66,84,0
123,209,251,29
25,9,24,0
20,91,68,0
71,228,260,53
26,6,26,0
24,70,85,0
99,230,276,7
21,14,23,0
4,129,46,0
43,236,177,156
14,14,30,0
18,86,75,0
99,217,282,14
22,14,22,0
25,83,71,0
86,222,274,30
23,9,26,0
17,102,60,0
74,222,257,59
14,16,28,0
21,68,90,0
89,223,271,29
25,13,20,0
20,106,53,0
74,212,272,54
23,5,30,0
26,82,71,0
80,223,267,42
21,11,26,0
17,94,68,0
67,228,246,71
21,8,29,0
17,88,74,0
105,210,256,41
22,11,25,0
18,94,67,0
85,221,264,42
19,5,34,0
29,102,48,0
100,191,267,54
24,7,27,0
22,35,122,0
97,256,253,6
16,17,25,0
13,121,45,0
74,206,260,72
21,14,23,0
20,92,67,0
78,228,270,36
24,5,29,0
29,52,98,0
87,236,276,13
26,11,21,0
9,132,38,0
65,218,187,142
14,15,29,0
16,91,72,0
73,234,255,50
22,11,25,0
9,136,34,0
62,207,186,157
15,12,31,0
18,84,77,0
71,230,274,37
23,9,26,0
26,85,68,0
71,235,277,29
15,17,26,0
24,87,68,0
84,237,253,38
21,15,22,0
24,70,85,0
98,231,275,8
19,15,24,0
16,100,63,0
80,218,275,39
17,14,27,0
14,125,40,0
62,225,185,140
15,14,29,0
23,95,61,0
82,225,256,49
17,13,28,0
12,117,50,0
53,237,203,119
20,11,27,0
9,145,25,0
58,206,178,170
19,9,30,0
16,108,55,0
82,214,265,51
19,12,27,0
13,96,70,0
77,225,259,51
12,15,31,0
16,113,50,0
75,211,244,82
18,11,29,0
22,103,54,0
64,232,244,72
23,8,27,0
25,86,68,0
120,205,263,24
21,7,30,0
16,111,52,0
71,220,213,108
17,14,27,0
22,102,55,0
100,195,264,53
27,2,29,0
21,63,95,0
82,237,258,35
17,12,29,0
19,91,69,0
84,224,273,31
17,16,25,0
20,98,61,0
72,226,250,64
18,9,31,0
17,60,102,0
80,230,287,15
20,15,23,0
25,82,72,0
77,227,287,21
23,7,28,0
30,87,62,0
121,200,274,17
25,10,23,0
16,75,88,0
90,222,274,26
22,12,24,0
16,79,84,0
74,235,257,46
26,9,23,0
22,76,81,0
99,226,256,31
20,14,24,0
11,135,33,0
57,215,195,145
10,15,33,0
17,84,78,0
79,219,271,43
25,9,24,0
22,114,43,0
78,200,255,79
24,10,24,0
7,111,61,0
48,226,255,83
12,23,23,0
16,72,91,0
84,231,248,49
21,10,27,0
19,111,49,0
95,196,239,82
24,4,30,0
20,94,65,0
82,229,243,58
20,8,30,0
20,76,83,0
91,218,273,30
26,9,23,0
15,118,46,0
71,196,222,123
18,8,32,0
21,81,77,0
115,202,259,36
31,7,20,0
23,92,64,0
100,212,276,24
18,12,28,0
14,69,96,0
71,240,263,38
19,13,26,0
17,80,82,0
93,228,270,21
20,15,23,0
18,102,59,0
73,213,272,54
18,13,27,0
14,50,115,0
103,238,267,4
15,20,23,0
28,74,77,0
74,246,280,12
19,16,23,0
12,91,76,0
71,237,246,58
16,18,24,0
13,122,44,0
73,225,202,112
13,14,31,0
15,98,66,0
71,226,255,60
28,11,19,0
28,93,58,0
87,223,248,54
15,12,31,0
16,104,59,0
94,206,262,50
24,11,23,0
19,101,59,0
79,221,241,71
22,9,27,0
18,71,90,0
78,233,273,28
16,18,24,0
15,108,56,0
69,217,263,63
17,12,29,0
19,84,76,0
70,237,264,41
24,5,29,0
19,73,87,0
70,239,276,27
18,14,26,0
17,109,53,0
79,209,274,50
19,14,25,0
32,60,87,0
125,208,254,25
29,9,20,0
20,64,95,0
72,232,275,33
15,14,29,0
20,91,68,0
78,215,270,49
19,17,22,0
16,83,80,0
90,227,256,39
20,14,24,0
20,82,77,0
93,219,255,45
18,13,27,0
12,119,48,0
61,226,217,108
13,15,30,0
25,76,78,0
91,226,271,24
20,16,22,0
18,96,65,0
77,223,239,73
24,8,26,0
27,100,52,0
102,206,223,81
23,8,27,0
11,73,95,0
74,239,267,32
21,12,25,0
8,109,62,0
51,233,227,101
12,20,26,0
24,50,105,0
96,228,272,16
23,10,25,0
15,127,37,0
70,202,202,138
18,10,30,0
23,77,79,0
74,231,273,34
25,12,21,0
26,86,67,0
96,220,270,26
21,8,29,0
21,74,84,0
86,221,273,32
23,14,21,0
23,89,67,0
122,199,245,46
26,8,24,0
32,68,79,0
112,226,270,4
20,14,24,0
24,75,80,0
86,235,279,12
18,14,26,0
24,90,65,0
77,229,261,45
16,13,29,0
19,94,66,0
74,220,248,70
23,10,25,0
18,97,64,0
95,209,265,43
22,10,26,0
33,55,91,0
122,211,271,8
24,8,26,0
15,124,40,0
62,216,215,119
