split,zero_output,linear_in_input,constant_output
14,109,56,0
57,170,176,87
17,14,27,0
20,86,73,0
49,204,177,60
12,16,30,0
13,134,32,0
36,169,144,141
9,14,35,0
21,59,99,0
78,209,183,20
23,12,23,0
24,93,62,0
75,183,191,41
19,12,27,0
13,126,40,0
32,181,149,128
11,16,31,0
21,90,68,0
67,188,177,58
17,13,28,0
17,104,58,0
54,178,155,103
22,11,25,0
22,77,80,0
65,190,199,36
17,13,28,0
19,74,86,0
54,202,183,51
19,12,27,0
21,67,91,0
71,211,200,8
18,16,24,0
29,66,84,0
83,200,180,27
28,6,24,0
20,91,68,0
52,190,182,66
23,7,28,0
24,70,85,0
76,203,194,17
18,14,26,0
4,129,46,0
32,197,116,145
10,15,33,0
18,86,75,0
78,188,195,29
22,13,23,0
25,83,71,0
59,193,195,43
24,9,25,0
17,102,60,0
60,180,167,83
15,17,26,0
21,68,90,0
67,199,188,36
23,15,20,0
20,106,53,0
59,172,189,70
22,5,31,0
26,82,71,0
56,192,182,60
17,13,28,0
17,94,68,0
59,194,164,73
23,7,28,0
17,88,74,0
78,189,175,48
21,12,25,0
18,94,67,0
52,186,193,59
20,6,32,0
29,102,48,0
89,145,181,75
27,6,25,0
22,35,122,0
73,229,182,6
17,18,23,0
13,121,45,0
52,169,165,104
22,14,22,0
20,92,67,0
65,190,181,54
23,6,29,0
29,52,98,0
77,198,198,17
26,9,23,0
9,132,38,0
43,177,121,149
9,15,34,0
16,91,72,0
66,185,169,70
23,10,25,0
9,136,34,0
40,174,123,153
14,12,32,0
18,84,77,0
53,195,188,54
20,12,26,0
26,85,68,0
62,192,198,38
15,17,26,0
24,87,68,0
68,186,178,58
21,14,23,0
24,70,85,0
83,197,197,13
18,16,24,0
16,100,63,0
61,182,183,64
15,14,29,0
14,125,40,0
41,183,132,134
11,15,32,0
23,95,61,0
64,187,181,58
22,10,26,0
12,117,50,0
47,187,134,122
14,14,30,0
9,145,25,0
46,154,116,174
13,12,33,0
16,108,55,0
59,177,167,87
16,13,29,0
13,96,70,0
59,194,171,66
10,15,33,0
16,113,50,0
67,161,162,100
21,10,27,0
22,103,54,0
51,186,162,91
20,11,27,0
25,86,68,0
83,174,194,39
22,8,28,0
16,111,52,0
46,184,134,126
13,14,31,0
22,102,55,0
83,154,180,73
30,1,27,0
21,63,95,0
60,207,185,38
16,14,28,0
19,91,69,0
73,192,178,47
20,15,23,0
20,98,61,0
62,181,175,72
20,7,31,0
17,60,102,0
56,214,196,24
20,17,21,0
25,82,72,0
60,187,203,40
22,9,27,0
30,87,62,0
105,158,190,37
22,11,25,0
16,75,88,0
73,200,183,34
21,13,24,0
16,79,84,0
55,209,180,46
26,10,22,0
22,76,81,0
83,194,178,35
19,16,23,0
11,135,33,0
40,168,129,153
9,15,34,0
17,84,78,0
56,186,192,56
22,11,25,0
22,114,43,0
71,152,165,102
23,9,26,0
7,111,61,0
41,194,145,110
15,23,20,0
16,72,91,0
69,195,183,43
18,12,28,0
19,111,49,0
72,160,165,93
25,4,29,0
20,94,65,0
62,194,173,61
17,10,31,0
20,76,83,0
61,199,186,44
25,11,22,0
15,118,46,0
55,166,150,119
17,8,33,0
21,81,77,0
74,189,196,31
31,7,20,0
23,92,64,0
66,184,197,43
21,12,25,0
14,69,96,0
47,216,176,51
20,14,24,0
17,80,82,0
77,188,203,22
21,15,22,0
18,102,59,0
55,178,177,80
14,16,28,0
14,50,115,0
63,234,187,6
14,19,25,0
28,74,77,0
63,203,190,34
18,18,22,0
12,91,76,0
64,192,157,77
14,18,26,0
13,122,44,0
40,187,146,117
12,15,31,0
15,98,66,0
58,186,171,75
28,10,20,0
28,93,58,0
65,189,172,64
16,11,31,0
16,104,59,0
69,174,177,70
22,12,24,0
19,101,59,0
51,184,162,93
16,12,30,0
18,71,90,0
53,207,186,44
19,16,23,0
15,108,56,0
50,186,161,93
21,13,24,0
19,84,76,0
64,202,176,48
23,6,29,0
19,73,87,0
57,205,195,33
18,14,26,0
17,109,53,0
60,178,168,84
21,15,22,0
32,60,87,0
89,189,179,33
30,8,20,0
20,64,95,0
55,211,192,32
13,14,31,0
20,91,68,0
50,190,181,69
26,13,19,0
16,83,80,0
58,200,175,57
20,14,24,0
20,82,77,0
70,197,166,57
19,11,28,0
12,119,48,0
46,181,146,117
11,15,32,0
25,76,78,0
