split,zero_output,linear_in_input,constant_output
21,100,53,0
103,261,348,68
19,14,36,0
27,80,67,0
103,280,367,30
17,21,31,0
13,125,36,0
87,238,306,149
18,9,42,0
30,45,99,0
130,308,334,8
37,13,19,0
30,82,62,0
121,268,361,30
21,10,38,0
22,114,38,0
74,258,325,123
15,11,43,0
26,83,65,0
124,274,335,47
24,7,38,0
23,97,54,0
94,269,337,80
21,10,38,0
30,67,77,0
91,319,345,25
25,15,29,0
26,65,83,0
112,290,347,31
33,7,29,0
25,56,93,0
160,295,324,1
34,14,21,0
29,62,83,0
160,264,340,16
35,7,27,0
27,80,67,0
124,254,350,52
33,4,32,0
29,56,89,0
150,280,344,6
27,19,23,0
8,120,46,0
75,249,273,183
16,10,43,0
29,82,63,0
133,281,355,11
23,15,31,0
31,75,68,0
123,275,346,36
33,5,31,0
26,88,60,0
99,281,352,48
15,19,35,0
35,58,81,0
105,302,336,37
24,14,31,0
27,93,54,0
118,246,355,61
24,7,38,0
29,73,72,0
108,277,358,37
29,7,33,0
24,87,63,0
112,265,325,78
22,13,34,0
27,72,75,0
133,268,338,41
26,11,32,0
25,86,63,0
130,275,342,33
31,7,31,0
34,91,49,0
143,220,363,54
28,2,39,0
28,24,122,0
135,339,306,0
34,19,16,0
18,113,43,0
95,257,296,132
23,11,35,0
21,84,69,0
113,272,343,52
23,8,38,0
31,43,100,0
134,301,339,6
34,13,22,0
9,122,43,0
73,252,282,173
18,9,42,0
22,85,67,0
85,295,347,53
26,13,30,0
8,129,37,0
72,245,267,196
20,8,41,0
26,76,72,0
118,283,325,54
19,14,36,0
26,80,68,0
123,282,344,31
21,18,30,0
26,78,70,0
110,285,356,29
20,12,37,0
29,61,84,0
146,286,347,1
23,19,27,0
25,93,56,0
103,272,346,59
21,10,38,0
17,118,39,0
89,246,268,177
17,9,43,0
28,82,64,0
138,259,322,61
26,13,30,0
21,104,49,0
84,259,325,112
16,13,40,0
15,134,25,0
87,226,265,202
19,8,42,0
24,94,56,0
122,257,349,52
28,7,34,0
18,86,70,0
124,266,341,49
23,6,40,0
25,106,43,0
110,256,346,68
22,15,32,0
24,95,55,0
78,281,342,79
20,12,37,0
38,71,65,0
171,246,338,25
30,9,30,0
21,103,50,0
77,281,303,119
18,11,40,0
33,94,47,0
126,236,377,41
42,2,25,0
31,51,92,0
106,304,355,15
16,11,42,0
27,80,67,0
107,275,364,34
20,10,39,0
28,87,59,0
115,258,342,65
30,11,28,0
29,57,88,0
117,307,346,10
19,17,33,0
31,77,66,0
143,269,346,22
31,9,29,0
43,77,54,0
164,241,357,18
22,13,34,0
15,71,88,0
121,279,353,27
19,15,35,0
26,67,81,0
127,288,316,49
37,9,23,0
28,68,78,0
127,282,353,18
21,11,37,0
13,126,35,0
75,239,322,144
16,10,43,0
32,71,71,0
128,273,348,31
28,8,33,0
26,108,40,0
107,248,337,88
27,11,31,0
10,107,57,0
68,285,309,118
13,22,34,0
30,63,81,0
117,305,339,19
33,12,24,0
26,102,46,0
125,233,360,62
30,2,37,0
30,84,60,0
115,276,350,39
28,9,32,0
36,58,80,0
141,275,346,18
23,16,30,0
24,101,49,0
107,241,350,82
20,7,42,0
37,64,73,0
162,244,367,7
37,9,23,0
22,85,67,0
124,269,345,42
27,10,32,0
19,64,91,0
103,318,312,47
17,18,34,0
31,70,73,0
125,301,352,2
26,20,23,0
27,92,55,0
96,278,344,62
18,16,35,0
26,41,107,0
127,332,321,0
25,20,24,0
31,67,76,0
141,290,342,7
31,19,19,0
16,85,73,0
95,286,343,56
20,11,38,0
18,111,45,0
83,248,305,144
16,9,44,0
28,80,66,0
117,258,344,61
26,9,34,0
29,86,59,0
133,251,356,40
25,12,32,0
38,88,48,0
115,263,365,37
18,13,38,0
26,89,59,0
113,265,324,78
23,6,40,0
17,62,95,0
120,292,345,23
22,14,33,0
19,100,55,0
88,276,332,84
22,7,40,0
25,77,72,0
116,287,325,52
24,12,33,0
20,72,82,0
109,306,347,18
19,18,32,0
25,98,51,0
119,248,346,67
26,8,35,0
34,52,88,0
