SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results\2020-04-17T15.07.14.413.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.018352508544921875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.5754551
2,run_results\2020-04-17T15.07.18.288.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.06074333190917969,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.844952599
3,run_results\2020-04-17T15.07.21.042.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.01483917236328125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.736672
4,run_results\2020-04-17T15.07.23.858.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.015869140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.800289801
5,run_results\2020-04-17T15.07.26.972.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.17657470703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.097779099
6,run_results\2020-04-17T15.07.29.570.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.011903762817382812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5826907
7,run_results\2020-04-17T15.07.33.357.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.9676856994628906,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.7706245
8,run_results\2020-04-17T15.09.28.290.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",112.21210861206055,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,114.9157905
9,run_results\2020-04-17T15.09.32.377.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",1.3361797332763672,UserObjLimit,false,0.08601113169778726,0.0,lp,3.928362601
10,run_results\2020-04-17T15.09.36.564.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.3823566436767578,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.0693657
11,run_results\2020-04-17T15.09.39.665.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.025249481201171875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.0834264
12,run_results\2020-04-17T15.10.44.874.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",61.383453369140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,65.192285001
13,run_results\2020-04-17T15.10.48.482.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7940521240234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.588585101
14,run_results\2020-04-17T15.10.51.225.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.014881134033203125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.725078099
15,run_results\2020-04-17T15.10.53.583.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.009918212890625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.342910399
16,run_results\2020-04-17T15.10.58.244.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",1.2364864349365234,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.643687099
17,run_results\2020-04-17T15.11.01.523.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.16616058349609375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.260481899
18,run_results\2020-04-17T15.11.04.079.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.012895584106445312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.539957999
19,run_results\2020-04-17T15.11.07.268.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.2782554626464844,UserObjLimit,false,0.09567947738007321,0.0,lp,3.1740313
20,run_results\2020-04-17T15.11.11.540.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",1.0108356475830078,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.2515076
21,run_results\2020-04-17T15.11.15.449.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.3098945617675781,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.8902432
22,run_results\2020-04-17T15.11.19.876.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",1.3580074310302734,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.4094413
23,run_results\2020-04-17T15.11.25.177.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",2.0261096954345703,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,5.283997599
24,run_results\2020-04-17T15.11.28.532.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.18004798889160156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.3373116
25,run_results\2020-04-17T15.11.56.646.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",24.77169418334961,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,28.0961643
26,run_results\2020-04-17T15.11.59.581.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.18548965454101562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.916065899
27,run_results\2020-04-17T15.12.02.188.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.03864479064941406,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.591678699
28,run_results\2020-04-17T15.12.04.820.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.017316818237304688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.6143401
29,run_results\2020-04-17T15.12.08.018.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.25444793701171875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.1829599
30,run_results\2020-04-17T15.12.10.834.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.012891769409179688,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.797268399
31,run_results\2020-04-17T15.12.13.371.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.03819084167480469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5206521
32,run_results\2020-04-17T15.12.15.815.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.009380340576171875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.4268626
33,run_results\2020-04-17T15.12.18.163.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.03571319580078125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.336288
34,run_results\2020-04-17T15.12.20.481.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.1969127655029297,UserObjLimit,false,0.08967227004773787,0.0,lp,2.3054347
35,run_results\2020-04-17T15.12.22.495.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.008382797241210938,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0008485
36,run_results\2020-04-17T15.12.25.374.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.1354084014892578,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.8655761
37,run_results\2020-04-17T15.12.27.551.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.029794692993164062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.1648638
38,run_results\2020-04-17T15.12.29.600.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.008886337280273438,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0357724
39,run_results\2020-04-17T15.12.35.339.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",3.049367904663086,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,5.725646599
40,run_results\2020-04-17T15.12.37.462.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.010417938232421875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.1105764
41,run_results\2020-04-17T15.12.39.826.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.10118293762207031,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3505383
42,run_results\2020-04-17T15.12.42.435.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.12148475646972656,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.592553
43,run_results\2020-04-17T15.12.44.730.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.04464149475097656,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.2821165
