SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results\2020-04-19T21.30.22.334.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0084686279296875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.313175701
2,run_results\2020-04-19T21.30.25.365.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.0079345703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9822964
3,run_results\2020-04-19T21.30.27.074.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.004428863525390625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.693759201
4,run_results\2020-04-19T21.30.29.119.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0441436767578125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.031588799
5,run_results\2020-04-19T21.30.31.262.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.029796600341796875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.130635699
6,run_results\2020-04-19T21.30.32.939.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.00545501708984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.657272699
7,run_results\2020-04-19T21.30.35.014.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.08500289916992188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.062979
8,run_results\2020-04-19T21.30.37.873.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.888336181640625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.8418467
9,run_results\2020-04-19T21.30.40.145.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.21233558654785156,UserObjLimit,false,0.09959895268960572,0.006115079010143741,lp,2.1260638
10,run_results\2020-04-19T21.30.42.267.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.23659133911132812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.020072401
11,run_results\2020-04-19T21.30.44.173.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0089263916015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.888646699
12,run_results\2020-04-19T21.30.46.431.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.11107063293457031,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.243701799
13,run_results\2020-04-19T21.30.48.569.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.31446266174316406,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.122975699
14,run_results\2020-04-19T21.30.50.496.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.011905670166015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.914098201
15,run_results\2020-04-19T21.30.51.961.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.004993438720703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.4511477
16,run_results\2020-04-19T21.30.53.836.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.07093048095703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.862002
17,run_results\2020-04-19T21.30.55.814.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.09319877624511719,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.964474801
18,run_results\2020-04-19T21.30.57.484.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0044651031494140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6551513
19,run_results\2020-04-19T21.31.00.363.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.9855480194091797,UserObjLimit,false,0.09478682950626484,0.0,lp,2.864609301
20,run_results\2020-04-19T21.31.02.064.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.025297164916992188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.686381699
21,run_results\2020-04-19T21.31.04.684.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8184013366699219,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.6070623
22,run_results\2020-04-19T21.31.06.422.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.06547355651855469,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7232875
23,run_results\2020-04-19T21.31.08.343.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.09622383117675781,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9044731
24,run_results\2020-04-19T21.31.10.106.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.00743865966796875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7462537
25,run_results\2020-04-19T21.31.12.974.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.927520751953125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.8536048
26,run_results\2020-04-19T21.31.14.802.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.027738571166992188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8152906
27,run_results\2020-04-19T21.31.16.572.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.06943893432617188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7557651
28,run_results\2020-04-19T21.31.18.401.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.008432388305664062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8155646
29,run_results\2020-04-19T21.31.20.325.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0218658447265625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.910484501
30,run_results\2020-04-19T21.31.21.877.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0049591064453125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.5385783
31,run_results\2020-04-19T21.31.23.624.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.00748443603515625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.723723901
32,run_results\2020-04-19T21.31.25.165.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0049591064453125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.521718099
33,run_results\2020-04-19T21.31.26.868.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.0074748992919921875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6896212
34,run_results\2020-04-19T21.31.28.618.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.06844711303710938,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7334463
35,run_results\2020-04-19T21.31.30.451.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.012910842895507812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.818956799
36,run_results\2020-04-19T21.31.32.341.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.07582473754882812,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.873226199
37,run_results\2020-04-19T21.31.34.111.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.052082061767578125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.756793399
38,run_results\2020-04-19T21.31.35.657.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0064487457275390625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.5329354
39,run_results\2020-04-19T21.31.37.589.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.20133399963378906,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.9161497
40,run_results\2020-04-19T21.31.39.186.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.00545501708984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.5827701
41,run_results\2020-04-19T21.31.41.019.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0045013427734375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.817356299
42,run_results\2020-04-19T21.31.42.878.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.06052398681640625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.844622699
43,run_results\2020-04-19T21.31.44.506.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.0069446563720703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.61465
44,run_results\2020-04-19T21.31.46.389.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.23308372497558594,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.868086999
45,run_results\2020-04-19T21.31.48.111.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.016366958618164062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.704463799
46,run_results\2020-04-19T21.31.50.451.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.3853931427001953,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3264563
