SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results\2020-04-19T21.35.29.763.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.00545501708984375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,6.9420132
2,run_results\2020-04-19T21.35.32.443.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.0049610137939453125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6797003
3,run_results\2020-04-19T21.35.33.994.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0044651031494140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.537525399
4,run_results\2020-04-19T21.35.35.790.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.025745391845703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7819073
5,run_results\2020-04-19T21.35.37.600.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.013391494750976562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7930333
6,run_results\2020-04-19T21.35.39.069.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0039691925048828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.455783499
7,run_results\2020-04-19T21.35.40.775.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.043117523193359375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6909833
8,run_results\2020-04-19T21.35.43.506.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.12542724609375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.713985401
9,run_results\2020-04-19T21.35.45.582.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.3501758575439453,UserObjLimit,false,0.0956138859316113,0.06093630883234109,lp,1.954399
10,run_results\2020-04-19T21.35.47.235.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.06100654602050781,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.555270401
11,run_results\2020-04-19T21.35.48.895.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0069427490234375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.646665201
12,run_results\2020-04-19T21.35.50.727.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.07043266296386719,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.8182637
13,run_results\2020-04-19T21.35.52.510.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.22117996215820312,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7679133
14,run_results\2020-04-19T21.35.54.115.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0079498291015625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.591836599
15,run_results\2020-04-19T21.35.55.478.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0034694671630859375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.348747901
16,run_results\2020-04-19T21.35.57.110.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.03963661193847656,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.618385701
17,run_results\2020-04-19T21.35.58.750.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.06497573852539062,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.6263153
18,run_results\2020-04-19T21.36.00.270.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.004913330078125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.507038099
19,run_results\2020-04-19T21.36.02.049.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.18846511840820312,UserObjLimit,false,0.1,0.0,lp,1.7654303
20,run_results\2020-04-19T21.36.03.668.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.015375137329101562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.605467801
