SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results\2020-04-16T23.41.42.546.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.008922576904296875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,6.4377899
2,run_results\2020-04-16T23.41.45.449.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.011407852172851562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.049327299
3,run_results\2020-04-16T23.41.47.212.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0063934326171875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7468165
4,run_results\2020-04-16T23.41.49.754.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.135406494140625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5270906
5,run_results\2020-04-16T23.41.51.787.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.032230377197265625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.018072501
6,run_results\2020-04-16T23.41.53.529.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.00640106201171875,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.7273449
7,run_results\2020-04-16T23.41.55.765.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.2385272979736328,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.222064
8,run_results\2020-04-16T23.41.58.307.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6711292266845703,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.5288868
9,run_results\2020-04-16T23.42.02.638.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",2.305360794067383,UserObjLimit,false,0.09835872343795168,0.07370002818153587,lp,4.217918
10,run_results\2020-04-16T23.42.05.507.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.7345352172851562,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.7769194
11,run_results\2020-04-16T23.45.42.429.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.0619659423828125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,11.0129141
12,run_results\2020-04-16T23.45.48.647.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.5941696166992188,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.7854021
13,run_results\2020-04-16T23.45.53.003.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9160747528076172,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,4.3374098
14,run_results\2020-04-16T23.45.56.775.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.2003459930419922,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.7528272
15,run_results\2020-04-16T23.45.59.186.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0093841552734375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.3942933
16,run_results\2020-04-16T23.46.02.173.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.07784080505371094,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.9694611
17,run_results\2020-04-16T23.46.04.534.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.10069847106933594,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.346758799
18,run_results\2020-04-16T23.46.06.402.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0084075927734375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.853900101
19,run_results\2020-04-16T23.46.08.880.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.37596702575683594,UserObjLimit,false,0.07534218376622366,0.0,lp,2.350580701
20,run_results\2020-04-16T23.46.11.064.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.03521728515625,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.055510801
21,run_results\2020-04-16T23.46.14.582.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",1.4428234100341797,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,3.504419799
22,run_results\2020-04-16T23.46.16.654.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.08580970764160156,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0584144
